(2.48189, 2.09392) (-3.03544, 2.02917) (2.40648, -1.93087) (-2.25931, 2.0732) (-3.15445, 2.39852) (-2.01786, -1.63281) 
(2.47892, 2.09615) (-3.03544, 2.02917) (2.40314, -1.92815) (-2.25861, 2.07343) (-3.15445, 2.39852) (-2.01911, -1.63235) 
(2.47541, 2.09939) (-3.03544, 2.02917) (2.40187, -1.92527) (-2.2521, 2.07379) (-3.15445, 2.39852) (-2.02067, -1.63218) 
(2.47365, 2.10192) (-3.03544, 2.02917) (2.3988, -1.92213) (-2.24212, 2.07433) (-3.15445, 2.39852) (-2.01499, -1.63203) 
(2.47309, 2.10318) (-3.03544, 2.02917) (2.39852, -1.91885) (-2.22967, 2.07435) (-3.15445, 2.39852) (-1.99494, -1.63168) 
(2.47164, 2.10204) (-3.03544, 2.02917) (2.39644, -1.915) (-2.21885, 2.07367) (-3.15445, 2.39852) (-1.97499, -1.63158) 
(2.47015, 2.10203) (-3.03544, 2.02917) (2.39739, -1.91309) (-2.20445, 2.07395) (-3.15445, 2.39852) (-1.96166, -1.6308) 
(2.47096, 2.10626) (-3.03544, 2.02917) (2.39963, -1.91205) (-2.18525, 2.07408) (-3.15445, 2.39852) (-1.94482, -1.63072) 
(2.47292, 2.11275) (-3.03544, 2.02917) (2.39898, -1.90899) (-2.16192, 2.07446) (-3.15445, 2.39852) (-1.92894, -1.62945) 
(2.47396, 2.11575) (-3.03544, 2.02917) (2.39789, -1.90784) (-2.14354, 2.0742) (-3.15445, 2.39852) (-1.91442, -1.6301) 
(2.47236, 2.11216) (-3.03544, 2.02917) (2.39635, -1.9105) (-2.1156, 2.07456) (-3.15445, 2.39852) (-1.8854, -1.62974) 
(2.4685, 2.10496) (-3.03544, 2.02917) (2.39438, -1.91382) (-2.09676, 2.0762) (-3.15445, 2.39852) (-1.86597, -1.63045) 
(2.45161, 2.08006) (-3.03544, 2.02917) (2.37967, -1.92117) (-2.05914, 2.07498) (-3.15445, 2.39852) (-1.83079, -1.63001) 
(2.4319, 2.05603) (-3.03544, 2.02917) (2.35877, -1.92261) (-2.03173, 2.07498) (-3.15445, 2.39852) (-1.80172, -1.63043) 
(2.40079, 2.03024) (-3.03544, 2.02917) (2.31545, -1.91636) (-1.99401, 2.07452) (-3.15445, 2.39852) (-1.76732, -1.63069) 
(2.35958, 2.01059) (-3.03544, 2.02917) (2.26443, -1.89857) (-1.95708, 2.07397) (-3.15445, 2.39852) (-1.72946, -1.63026) 
(2.31609, 1.99817) (-3.03544, 2.02917) (2.21992, -1.87851) (-1.91912, 2.07365) (-3.15445, 2.39852) (-1.69655, -1.63058) 
(2.27488, 1.99348) (-3.03544, 2.02917) (2.18022, -1.85964) (-1.88941, 2.07336) (-3.15445, 2.39852) (-1.66964, -1.62943) 
(2.21323, 1.99823) (-3.03544, 2.02917) (2.12185, -1.82854) (-1.84732, 2.07353) (-3.15445, 2.39852) (-1.63218, -1.63054) 
(2.12832, 2.02282) (-3.03544, 2.02917) (2.05277, -1.79498) (-1.7944, 2.07309) (-3.15445, 2.39852) (-1.57659, -1.62973) 
(2.05741, 2.04803) (-3.03544, 2.02917) (2.00748, -1.78243) (-1.74919, 2.07274) (-3.15445, 2.39852) (-1.5253, -1.6308) 
(1.9941, 2.06713) (-3.03544, 2.02917) (1.96585, -1.77948) (-1.70657, 2.07229) (-3.15445, 2.39852) (-1.47847, -1.63062) 
(1.92716, 2.08023) (-3.03544, 2.02917) (1.91704, -1.78047) (-1.65654, 2.07197) (-3.15445, 2.39852) (-1.42747, -1.63138) 
(1.85781, 2.08433) (-3.03544, 2.02917) (1.85733, -1.78379) (-1.60048, 2.07167) (-3.15445, 2.39852) (-1.37827, -1.62958) 
(1.77483, 2.07678) (-3.03544, 2.02917) (1.77715, -1.79589) (-1.53484, 2.07141) (-3.15445, 2.39852) (-1.31749, -1.62996) 
(1.70072, 2.06166) (-3.03544, 2.02917) (1.70745, -1.81812) (-1.48076, 2.07258) (-3.15445, 2.39852) (-1.26337, -1.62869) 
(1.63602, 2.04226) (-3.03544, 2.02917) (1.65092, -1.84037) (-1.43507, 2.0727) (-3.15445, 2.39852) (-1.21752, -1.62846) 
(1.55355, 2.01276) (-3.03544, 2.02917) (1.57744, -1.86852) (-1.37965, 2.07244) (-3.15445, 2.39852) (-1.15986, -1.62668) 
