(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33563, 0.494489) (0.0435936, 2.48446) (0.140773, -2.14083) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33562, 0.494477) (0.0436088, 2.48446) (0.140844, -2.14087) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33562, 0.494477) (0.0436091, 2.48446) (0.140845, -2.14087) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33563, 0.494501) (0.0435885, 2.48445) (0.140778, -2.14083) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33563, 0.494501) (0.0435884, 2.48445) (0.140777, -2.14083) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33562, 0.494523) (0.0436059, 2.48446) (0.140168, -2.14082) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33562, 0.494523) (0.0436058, 2.48446) (0.140167, -2.14082) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33564, 0.494509) (0.0435985, 2.48446) (0.138856, -2.12602) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33564, 0.494509) (0.0435987, 2.48446) (0.13885, -2.12598) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33564, 0.494507) (0.0435876, 2.48446) (0.136996, -2.10346) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33564, 0.494491) (0.0436045, 2.48447) (0.136648, -2.08777) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33542, 0.49438) (0.0435931, 2.48446) (0.136036, -2.07121) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.33989, 0.49463) (0.0436187, 2.48446) (0.134656, -2.04682) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.34911, 0.495804) (0.0435833, 2.48445) (0.134365, -2.01816) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.35641, 0.497021) (0.0435732, 2.48445) (0.132267, -1.99373) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.36854, 0.498354) (0.0436139, 2.48446) (0.130538, -1.95525) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.38608, 0.500424) (0.0436008, 2.48446) (0.130234, -1.92184) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.40033, 0.50178) (0.0435747, 2.48446) (0.128555, -1.89535) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.42466, 0.503992) (0.0435952, 2.48446) (0.12629, -1.85822) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.44317, 0.505561) (0.0435691, 2.48445) (0.124522, -1.81838) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.47168, 0.508295) (0.0435709, 2.48446) (0.123246, -1.77163) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.50129, 0.51073) (0.0435976, 2.48447) (0.121024, -1.72946) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.52702, 0.512939) (0.0435939, 2.48445) (0.118691, -1.68692) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.55845, 0.516239) (0.04359, 2.48446) (0.116995, -1.64146) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.5933, 0.520089) (0.0436059, 2.48446) (0.115381, -1.59214) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.63355, 0.523752) (0.0435892, 2.48445) (0.112781, -1.53274) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.66606, 0.527215) (0.0435725, 2.48446) (0.110532, -1.4792) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.71061, 0.531272) (0.04356, 2.48445) (0.108001, -1.41806) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.743, 0.53606) (0.043606, 2.48445) (0.106277, -1.37204) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.79309, 0.539826) (0.0435931, 2.48447) (0.104651, -1.31286) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.83749, 0.542949) (0.043661, 2.48446) (0.102825, -1.26229) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.8899, 0.547058) (0.0435651, 2.48446) (0.0991933, -1.20691) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.94619, 0.55259) (0.0435993, 2.48447) (0.0976455, -1.14591) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.00098, 0.558429) (0.0435766, 2.48445) (0.0960249, -1.08979) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.05703, 0.564842) (0.0435641, 2.48446) (0.093653, -1.03391) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.11831, 0.570836) (0.0436046, 2.48446) (0.090691, -0.973488) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.17302, 0.576827) (0.0435753, 2.48446) (0.0886647, -0.918206) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.22039, 0.580774) (0.0435934, 2.48446) (0.0862189, -0.866764) 
