(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.16814, 0.489373) (0.0364317, 2.37091) (0.0388126, -2.05774) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.16812, 0.48937) (0.0364299, 2.37092) (0.0388209, -2.05774) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.1682, 0.489439) (0.0364364, 2.37097) (0.0385307, -2.05842) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.1629, 0.490261) (0.036775, 2.3659) (0.0367002, -2.05957) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.15446, 0.490508) (0.0377271, 2.35917) (0.0364198, -2.05193) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.14947, 0.490709) (0.0392442, 2.35432) (0.0352612, -2.04479) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.13348, 0.491735) (0.0393798, 2.33801) (0.0346162, -2.0266) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.1233, 0.492186) (0.0397496, 2.32901) (0.0341898, -2.01362) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.10535, 0.492389) (0.0401232, 2.31065) (0.033174, -1.99412) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.08285, 0.493071) (0.0408104, 2.2896) (0.0335545, -1.97736) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.06306, 0.493139) (0.0402237, 2.27001) (0.0338134, -1.95862) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.03653, 0.49387) (0.0414612, 2.24273) (0.0330623, -1.92675) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-2.01887, 0.494037) (0.0425379, 2.22488) (0.0327738, -1.9048) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.98987, 0.494533) (0.0424154, 2.1978) (0.0327542, -1.87843) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.95465, 0.495922) (0.0447685, 2.16263) (0.0322955, -1.84217) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.92715, 0.496182) (0.0454918, 2.13433) (0.0312781, -1.81849) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.88957, 0.496294) (0.0453719, 2.09606) (0.0300957, -1.78152) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.86524, 0.497747) (0.0467945, 2.06932) (0.0295647, -1.75632) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.81562, 0.498574) (0.0488438, 2.02078) (0.0279622, -1.7014) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.79583, 0.499098) (0.0490746, 1.98671) (0.0273276, -1.66867) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.75713, 0.491544) (0.050863, 1.9401) (0.0274504, -1.62093) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.72683, 0.483005) (0.0520159, 1.89304) (0.0273236, -1.57794) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.70183, 0.473182) (0.05258, 1.85513) (0.0258712, -1.53862) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.66535, 0.458451) (0.054444, 1.79906) (0.0244026, -1.48377) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.62751, 0.443189) (0.0538706, 1.74789) (0.0237191, -1.42913) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.58328, 0.427969) (0.0560466, 1.6884) (0.0217819, -1.36802) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.54667, 0.416663) (0.0575127, 1.63948) (0.0202189, -1.31669) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.51037, 0.407777) (0.0596285, 1.57924) (0.0195924, -1.25875) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.47232, 0.404039) (0.0605341, 1.52092) (0.0193379, -1.19971) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.43939, 0.408767) (0.0631441, 1.46775) (0.018678, -1.14477) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.41111, 0.413833) (0.0639112, 1.41453) (0.0174516, -1.0887) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.39132, 0.425469) (0.0647539, 1.3695) (0.0162969, -1.04167) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.35931, 0.437133) (0.0678966, 1.31404) (0.0157707, -0.985342) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.32913, 0.451692) (0.0697719, 1.254) (0.0129732, -0.923921) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.29811, 0.470459) (0.0687289, 1.20667) (0.0107319, -0.884607) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.26908, 0.492274) (0.0740563, 1.1553) (-0.0012829, -0.842265) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.23764, 0.517102) (0.0831805, 1.10947) (-0.0166641, -0.805612) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.20532, 0.54155) (0.0960643, 1.06144) (-0.0383751, -0.76839) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.1729, 0.562985) (0.118796, 1.01224) (-0.0644801, -0.726482) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.14127, 0.577717) (0.133143, 0.970781) (-0.0845792, -0.688485) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.11502, 0.587475) (0.148299, 0.937226) (-0.0996552, -0.658674) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.08345, 0.596997) (0.160043, 0.891647) (-0.109697, -0.616632) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.04321, 0.607736) (0.16957, 0.843564) (-0.11784, -0.570464) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-1.01138, 0.614857) (0.175387, 0.804662) (-0.124338, -0.540629) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.969967, 0.624781) (0.182115, 0.754902) (-0.133416, -0.508104) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.917434, 0.638475) (0.189559, 0.692701) (-0.144395, -0.48398) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.871053, 0.650315) (0.199349, 0.639815) (-0.158689, -0.462497) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.839508, 0.656262) (0.20806, 0.59338) (-0.179607, -0.434153) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.792336, 0.661235) (0.218689, 0.529921) (-0.207091, -0.393888) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.757416, 0.662066) (0.22778, 0.48883) (-0.227918, -0.365152) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.713592, 0.661757) (0.235847, 0.432734) (-0.24969, -0.331199) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.667066, 0.65838) (0.242158, 0.387682) (-0.271039, -0.296121) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.620741, 0.655973) (0.247486, 0.340731) (-0.294416, -0.259171) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.569615, 0.653223) (0.250078, 0.298396) (-0.31892, -0.221249) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.525192, 0.652105) (0.249957, 0.254452) (-0.343183, -0.180994) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.468134, 0.652322) (0.245586, 0.20356) (-0.371146, -0.13738) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.416706, 0.653592) (0.244455, 0.163091) (-0.392625, -0.101249) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.351746, 0.652623) (0.239943, 0.111019) (-0.418785, -0.0564412) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.283697, 0.652884) (0.235819, 0.0499662) (-0.445531, -0.00449376) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.232451, 0.652797) (0.232603, -0.00115243) (-0.466708, 0.0325517) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.182445, 0.652021) (0.230043, -0.0522279) (-0.483548, 0.0732278) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.12038, 0.650672) (0.227257, -0.115139) (-0.49735, 0.117262) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.0671222, 0.65036) (0.224561, -0.170548) (-0.505216, 0.158237) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (-0.00935654, 0.648045) (0.223924, -0.229841) (-0.508346, 0.197561) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.0584025, 0.647794) (0.221872, -0.298313) (-0.5013, 0.245728) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.112315, 0.647008) (0.222124, -0.351189) (-0.492546, 0.277737) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.16947, 0.646823) (0.218662, -0.408119) (-0.479089, 0.311037) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.226964, 0.646642) (0.215097, -0.466474) (-0.462556, 0.348006) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.2924, 0.645156) (0.212238, -0.530241) (-0.446508, 0.395331) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.34061, 0.644485) (0.210102, -0.579549) (-0.437946, 0.429287) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.401293, 0.64476) (0.206986, -0.642502) (-0.429311, 0.472403) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.464321, 0.644689) (0.204069, -0.704721) (-0.421623, 0.524381) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.514035, 0.644176) (0.202418, -0.752207) (-0.416039, 0.563721) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.572685, 0.643469) (0.200028, -0.811589) (-0.406337, 0.613618) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.630808, 0.642395) (0.19754, -0.869856) (-0.395998, 0.661983) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.690391, 0.641625) (0.195302, -0.929581) (-0.38582, 0.712513) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.753706, 0.639865) (0.192863, -0.994803) (-0.374793, 0.768366) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.817975, 0.639376) (0.188975, -1.05914) (-0.359614, 0.82547) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.873225, 0.638639) (0.186639, -1.11408) (-0.347149, 0.873621) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.935101, 0.638857) (0.184569, -1.17182) (-0.332234, 0.929028) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (0.990685, 0.638676) (0.182407, -1.2265) (-0.317908, 0.984361) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.04796, 0.637846) (0.179457, -1.28753) (-0.30202, 1.0449) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.10563, 0.637963) (0.177307, -1.34791) (-0.28762, 1.10145) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.16871, 0.63594) (0.17471, -1.40781) (-0.274816, 1.15805) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.23739, 0.633921) (0.17118, -1.47216) (-0.261037, 1.22007) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.30008, 0.633058) (0.16844, -1.53605) (-0.245465, 1.28198) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.3512, 0.633636) (0.166118, -1.59014) (-0.233374, 1.33459) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.40349, 0.635012) (0.164426, -1.64361) (-0.220892, 1.38348) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.47402, 0.635728) (0.160166, -1.7132) (-0.205307, 1.44681) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.52628, 0.635292) (0.158489, -1.76188) (-0.192941, 1.49365) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.57846, 0.63538) (0.156239, -1.81042) (-0.180567, 1.54346) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.64366, 0.630584) (0.154205, -1.86908) (-0.16424, 1.60711) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.70983, 0.628001) (0.150513, -1.93288) (-0.145686, 1.67482) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.7563, 0.626509) (0.148279, -1.97536) (-0.133875, 1.72305) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.83119, 0.624067) (0.145511, -2.03519) (-0.116356, 1.79235) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.89891, 0.622646) (0.147633, -2.06317) (-0.100416, 1.85454) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (1.95292, 0.621772) (0.14601, -2.06163) (-0.0850611, 1.90956) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.01282, 0.621427) (0.147907, -2.05562) (-0.0688768, 1.96885) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.06962, 0.621363) (0.146157, -2.06142) (-0.0553997, 2.02083) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.13098, 0.620217) (0.146999, -2.05995) (-0.040459, 2.07827) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.1964, 0.618899) (0.146362, -2.06017) (-0.0224142, 2.14031) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.25059, 0.616964) (0.146776, -2.05989) (-0.00787851, 2.19313) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.30689, 0.616423) (0.146845, -2.05982) (0.00928695, 2.24975) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.35166, 0.617423) (0.146538, -2.05996) (0.0153873, 2.27066) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40813, 0.61575) (0.1467, -2.05985) (0.016211, 2.27135) 
